"","Site","campaign","habitat","drying_regime","flow_state","mean_CH4_mg_m2_d","mean_CO2_g_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_rewet","Tsince_manual","percent_C","percent_N","CN_ratio","CN_ratio.LECA","Canopy_Cover_Rip","Canopy_Cover_Benth","Tree_div","Leaf_Fall_m2.Day","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","filamentous.algae","X..wood.cover","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_CH4_mg_m2_d","aquatic_conditions"
"41","AL03","6","Riparian","intermittent_moderate","pool",-0.814883574894159,1.71191238434076,6.41666666666666,0.280416666666666,NA,NA,NA,7.5675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,0.935483870967742,0,0.0645161290322581,0,0,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365665267780953,"Dry"
"42","AL03","6","Pool","intermittent_moderate","pool",0.116407315639322,0.251077028234837,NA,NA,8.6,NA,NA,5.86,NA,NA,17,15,50,15,1,2,NA,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,0.935483870967742,0,0.0645161290322581,0,0,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365665267780953,"Dry"
"43","AL03","7","Flowing","intermittent_moderate","flowing",0.76621428226155,0.57201152502875,NA,NA,13,NA,NA,0.7614,3.4,NA,10,20,54,15,1,0,NA,12.04,8.08,472,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,0.125,0.032258064516129,0,0,0,0,54,53,NA,NA,NA,NA,NA,16.5,10,0.994420954,15.28326107,5.6,0,0.276,735,21634.6,14018.5,50.18406189,32.51760012,12,1.4,23,19,10,10,3.4,15,40.5,8,82,279,NA,NA,1.723,1709,2153,101,25,0.76621428226155,"Flowing"
"44","AL03","7","Riparian","intermittent_moderate","flowing",-0.639183355066921,0.78505586430496,3.05,0.29325,NA,NA,NA,0.7325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,0.125,0.032258064516129,0,0,0,0,54,53,11.5791048,0.716180392,16.1678606805532,16.1678606805532,54.5,NA,10,0.994420954,15.28326107,5.6,0,NA,735,21634.6,14018.5,50.18406189,32.51760012,12,1.4,23,19,10,10,3.4,15,40.5,8,82,279,NA,NA,NA,NA,NA,NA,NA,0.76621428226155,"Flowing"
"45","AL04","1","Flowing","perennial","flowing",0.221813730396324,0.491919803841884,NA,NA,82,NA,NA,20.4,8.9,0.2544,0,35,30,20,15,0,NA,11.8,8.3,365,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,36,14,1.321269043,0.592433401,18.6,10,NA,322,21634.6,29018.8,31.79571591,42.64805085,20,17,30,25,10,2,0,0,NA,0,0,NA,NA,NA,0.655,599.5,1446.5,11,3,0.221813730396324,"Flowing"
"46","AL04","1","Riparian","perennial","flowing",-0.215800878645754,1.5716923286485,9.34,0.351533333333334,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,11.37135408,0.183261668,62.0498230977577,62.0498230977577,80,NA,14,1.321269043,0.592433401,18.6,10,NA,322,21634.6,29018.8,31.79571591,42.64805085,20,17,30,25,10,2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.221813730396324,"Flowing"
"47","AL04","2","Flowing","perennial","flowing",0.2776143194904,0.317134510357598,NA,NA,69,NA,NA,18.1,NA,NA,0,35,30,20,15,0,NA,10.78,8.53,365,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2776143194904,"Flowing"
"48","AL04","2","Riparian","perennial","flowing",-0.0857860131336344,0.15540213059031,10.5333333333333,0.3635,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2776143194904,"Flowing"
"49","AL04","3","Flowing","perennial","flowing",0.375580075202697,1.0969496902847,NA,NA,63.84,NA,NA,11.4688,10.7,0.155633333,0,30,50,15,5,0,1.12,11.28,8.23,392,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,0.282297339,0.0765439,3.68804488665981,3.68804488665981,NA,36,14,1.321269043,0.436195566,15.3,5,NA,322,21634.6,29018.8,31.79571591,42.64805085,18,14,30,25,5,2,0,0,NA,0,0,NA,9.49,226,0.634,608.5,1768,14,3,0.375580075202697,"Flowing"
"50","AL04","3","Riparian","perennial","flowing",-0.350578655849489,5.39278218307018,13.06,0.3504,NA,NA,NA,11.681,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,392,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,12.08912716,0.345233734,35.0172244755201,35.0172244755201,80,NA,14,1.321269043,0.436195566,15.3,5,NA,322,21634.6,29018.8,31.79571591,42.64805085,18,14,30,25,5,2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.375580075202697,"Flowing"
"51","AL04","4","Flowing","perennial","flowing",0.491960486556287,2.71593636036289,NA,NA,51.3,NA,NA,16.5412,12.1,NA,0,30,50,15,5,0,NA,11.76,8.36,405,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491960486556287,"Flowing"
"52","AL04","4","Riparian","perennial","flowing",-0.57827674482328,6.81320258223287,14.325,0.339333333333333,NA,NA,NA,16.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491960486556287,"Flowing"
"53","AL04","5","Flowing","perennial","flowing",0.579153252006572,1.41389703717786,NA,NA,47,NA,NA,17.1655,12.9,0.2705,0,30,50,15,5,0,1.25,10.53,8.12,388,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,0.360310735,0.05010381,7.19128415583565,7.19128415583565,NA,36,14,1.321269043,3.094261446,9.2,10,0.864,322,21634.6,29018.8,31.79571591,42.64805085,11.5,6.9,30,25,20,2,0,0,NA,0,0,NA,7.67,1710,0.773,723.5,1318,15,15,0.579153252006572,"Flowing"
"54","AL04","5","Riparian","perennial","flowing",-0.868168686396022,5.76752577283132,16.7333333333333,0.216166666666667,NA,NA,NA,17.18925,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,388,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,11.77137375,0.252931322,46.5398024132416,46.5398024132416,80,NA,14,1.321269043,3.094261446,9.2,10,NA,322,21634.6,29018.8,31.79571591,42.64805085,11.5,6.9,30,25,20,2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.579153252006572,"Flowing"
"55","AL04","6","Flowing","perennial","flowing",0.274369120367159,1.76938750376592,NA,NA,54.375,NA,NA,4.337,8.8,NA,0,30,50,15,5,0,NA,11.62,7.88,413,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274369120367159,"Flowing"
"56","AL04","6","Riparian","perennial","flowing",-0.331064200507841,1.34140353890317,7.90833333333333,0.300833333333333,NA,NA,NA,4.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274369120367159,"Flowing"
"57","AL04","7","Flowing","perennial","flowing",0.0617131890659984,1.02287646515119,NA,NA,41,NA,NA,2.666,7.88,0.1734,1,25,54,15,5,0,0.64,11.33,8.44,409,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,0.208515964,0.09601903,2.17161081506447,2.17161081506447,NA,36,14,1.321269043,0.697671757,11.69,5,1.88,322,21634.6,29018.8,31.79571591,42.64805085,16,7.5,30,25,5,1,0,0,NA,0,0,NA,8.82,292,0.871,844,1337.5,14,17,0.0617131890659984,"Flowing"
"58","AL04","7","Riparian","perennial","flowing",0.0810132855490325,0.56608661090466,NA,0.34275,NA,NA,NA,2.8365,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,409,1,0,0,45.92436,5.499879,31139.34,1,0,0,1,1,0,0,0,0,NA,NA,10.09691121,0.268997551,37.5353276357523,37.5353276357523,80,NA,14,1.321269043,0.697671757,11.69,5,NA,322,21634.6,29018.8,31.79571591,42.64805085,16,7.5,30,25,5,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0617131890659984,"Flowing"
"59","AL05","2","Flowing","perennial","flowing",0.508824353899957,1.69870450654815,NA,NA,36.4,NA,NA,9.7,9.6,NA,0,45,40,10,5,0,NA,10.89,8.29,378,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508824353899957,"Flowing"
"60","AL05","2","Riparian","perennial","flowing",-0.401623418915679,1.27092814294823,10.9866666666667,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508824353899957,"Flowing"
"61","AL05","3","Flowing","perennial","flowing",0.352382007109967,1.55986521523386,NA,NA,36.08,NA,NA,15.9432,13.8,0.2583,0,20,65,10,5,0,2.17,11.91,8.41,378,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,0.624232367,0.084410809,7.39517100232981,7.39517100232981,NA,15.5,13,1.999658194,1.530367177,19.2,0,3.878,279,29543.4,56648.4,26.87241619,51.52688524,21,17,35,21,0,1,0,0,NA,0,0,NA,8.64,145.1,0.714,667,1540.5,11,11,0.352382007109967,"Flowing"
"62","AL05","3","Riparian","perennial","flowing",-0.308057383939792,5.12276605923599,16.2533333333333,0.344533333333333,NA,NA,NA,15.563,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA,NA,378,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,10.90473266,0.19017563,57.3403262026791,57.3403262026791,75,NA,13,1.999658194,1.530367177,19.2,0,NA,279,29543.4,56648.4,26.87241619,51.52688524,21,17,35,21,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.352382007109967,"Flowing"
"63","AL05","4","Flowing","perennial","flowing",0.755703045105019,2.70265375623724,NA,NA,39.3,NA,NA,23.0232,13.6,NA,0,20,65,10,5,0,NA,11.42,8.43,389,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755703045105019,"Flowing"
"64","AL05","4","Riparian","perennial","flowing",-0.269949836992878,5.13120401615223,18.54,0.324333333333333,NA,NA,NA,22.9466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755703045105019,"Flowing"
"65","AL05","5","Flowing","perennial","flowing",0.149621427448235,0.397519160820439,NA,NA,37.65,NA,NA,20.30575,17,0.1225,0,30,50,15,5,0,1.16,12.38,8.36,351,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,0.252503413,0.046962899,5.37665728429584,5.37665728429584,NA,15.5,13,1.999658194,11.01572077,15.6,0,0.92,279,29543.4,56648.4,26.87241619,51.52688524,18,15,35,21,20,5,0,0,NA,0,0,NA,7.64,246,0.612,651.5,1409,29,7,0.149621427448235,"Flowing"
"66","AL05","5","Riparian","perennial","flowing",-0.724892684577595,5.12171149353461,19.3583333333333,0.176833333333334,NA,NA,NA,20.6885,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,351,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,12.15524045,0.329522728,36.8874114504175,36.8874114504175,75,NA,13,1.999658194,11.01572077,15.6,0,NA,279,29543.4,56648.4,26.87241619,51.52688524,18,15,35,21,20,5,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.149621427448235,"Flowing"
"67","AL05","6","Flowing","perennial","flowing",0.211483525182226,0.723844396271806,NA,NA,24.5,NA,NA,14.39725,11.4,NA,0,30,50,15,5,0,NA,12.17,8.03,386,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211483525182226,"Flowing"
"68","AL05","6","Riparian","perennial","flowing",-0.515980651266395,2.12449379970974,11.6833333333333,0.329583333333333,NA,NA,NA,14.63625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211483525182226,"Flowing"
"69","AL05","7","Flowing","perennial","flowing",0.344888767600928,NA,NA,NA,36.2,NA,NA,4.1016,7.5,0.165666667,0,30,50,15,5,0,0.99,12.86,8.55,3.85,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,0.252049931,0.076171994,3.30895802727706,3.30895802727706,NA,15.5,13,1.999658194,6.360454287,19.5,5,1.44,279,29543.4,56648.4,26.87241619,51.52688524,21,17,35,21,10,5,0,0,NA,0,0,NA,8.59,97.1,0.852,841,1085,9,17,0.344888767600928,"Flowing"
"70","AL05","7","Riparian","perennial","flowing",-0.359454981943722,0.594531063811028,4.98333333333333,0.360416666666666,NA,NA,NA,3.89275,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,3.85,1,0,0,45.924939,5.402877,42564.67,1,0,0,1,1,0,0,0,0,NA,NA,11.8031183,0.357226335,33.0410083008018,33.0410083008018,75,NA,13,1.999658194,6.360454287,19.5,5,NA,279,29543.4,56648.4,26.87241619,51.52688524,21,17,35,21,10,5,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.344888767600928,"Flowing"
"71","AL06","1","Flowing","intermittent_moderate","flowing",1.11455235848335,0.766240859011793,NA,NA,73.3333333333333,NA,NA,24.5833333333333,11,NA,0,0,70,20,0,10,1.17,13.16,8.4,356,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,181,NA,0.546090988,0.094604495,5.77235772993662,5.77235772993662,NA,23.5,13,2.923036468,0.807810934,16,0,4.64,251,42728.4,59115.8,33.4117636,46.22600272,24,10,36,NA,10,2,2,3.666666667,80.5,2,5,201,NA,NA,0.691,651,1209,5,0,1.11455235848335,"Flowing"
"72","AL06","1","Riparian","intermittent_moderate","flowing",-0.548154736722856,1.87525864918872,6.19444444444444,0.3235,NA,NA,NA,22.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA,356,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,181,NA,11.85644125,0.252847639,46.8916431131872,46.8916431131872,83,NA,13,2.923036468,0.807810934,16,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,24,10,36,NA,10,2,2,3.666666667,80.5,2,5,201,NA,NA,NA,NA,NA,NA,NA,1.11455235848335,"Flowing"
"73","AL06","2","Flowing","intermittent_moderate","flowing",0.800440866765578,2.12275120919651,NA,NA,43.5833333333333,NA,NA,11.8333333333333,10.1,NA,0,0,70,20,0,10,NA,10.81,8.44,379,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800440866765578,"Flowing"
"74","AL06","2","Riparian","intermittent_moderate","flowing",-0.405681209003042,2.39307434425631,10.75,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800440866765578,"Flowing"
"75","AL06","3","Flowing","intermittent_moderate","flowing",1.73995679017377,2.45244677427424,NA,NA,46.3,NA,NA,18.521,12.2,0.2486,5,15,60,15,5,0,1.55,10.24,8.11,385,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,276,NA,0.554961809,0.088087401,6.30012695005044,6.30012695005044,NA,23.5,13,2.923036468,1.079639694,13.6,0,3.514,251,42728.4,59115.8,33.4117636,46.22600272,20,8,36,NA,0,1,2,3.666666667,80.5,2,5,201,8.5,134.5,0.694,655.5,1519.5,10,5,1.73995679017377,"Flowing"
"76","AL06","3","Riparian","intermittent_moderate","flowing",-0.737917200063032,4.46164246495967,17.8777777777778,0.312777777777778,NA,NA,NA,18.521,NA,NA,NA,NA,NA,NA,NA,NA,1.55,NA,NA,385,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,276,NA,10.67751738,0.228370612,46.7552163848473,46.7552163848473,83,NA,13,2.923036468,1.079639694,13.6,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,20,8,36,NA,0,1,2,3.666666667,80.5,2,5,201,NA,NA,NA,NA,NA,NA,NA,1.73995679017377,"Flowing"
"77","AL06","4","Flowing","intermittent_moderate","flowing",2.86160288457082,4.85145506375233,NA,NA,37.9,NA,NA,24.6804,8.32,NA,5,15,60,15,5,0,NA,10.61,8.32,396,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86160288457082,"Flowing"
"78","AL06","4","Riparian","intermittent_moderate","flowing",-0.900274356928382,5.62850273131436,19.3666666666667,0.2786,NA,NA,NA,24.7768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,1,0,0,0,0,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86160288457082,"Flowing"
"79","AL06","5","Dry","intermittent_moderate","dry",0.0142695812390553,0.278620247186805,NA,NA,NA,20.9583333333333,0.0526666666666667,26.60975,NA,0,5,15,60,15,5,0,2,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,0.625,0.903225806451613,0.125,0.032258064516129,0.25,0.0645161290322581,3,2,0.217264581,0.048632858,4.46744423286824,4.46744423286824,NA,23.5,13,2.923036468,11.83287545,NA,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,NA,NA,36,NA,NA,NA,2,3.666666667,80.5,2,5,201,8.37,98.9,NA,NA,NA,NA,NA,0.0142695812390553,"Dry"
"80","AL06","5","Riparian","intermittent_moderate","dry",-1.39802222332494,2.49698690663759,20.15,0.122666666666667,NA,NA,NA,26.8305,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,0.625,0.903225806451613,0.125,0.032258064516129,0.25,0.0645161290322581,3,2,11.47262579,0.225034408,50.9816516148055,50.9816516148055,83,NA,13,2.923036468,11.83287545,NA,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,NA,NA,36,NA,NA,NA,2,3.666666667,80.5,2,5,201,NA,NA,NA,NA,NA,NA,NA,0.0142695812390553,"Dry"
"81","AL06","6","Flowing","intermittent_moderate","flowing",0.495087577768301,1.3096400381375,NA,NA,52.04,NA,NA,16.6124,12.1,NA,5,15,60,15,5,0,NA,11.42,7.75,386,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,0.806451612903226,0,0.193548387096774,0,0,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495087577768301,"Flowing"
"82","AL06","6","Riparian","intermittent_moderate","flowing",-0.660480695704442,2.43575108100825,12.0166666666667,0.288666666666667,NA,NA,NA,16.66075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,1,0.806451612903226,0,0.193548387096774,0,0,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495087577768301,"Flowing"
"83","AL06","7","Flowing","intermittent_moderate","flowing",0.419268340472067,1.77063799551979,NA,NA,36.5,NA,NA,19.4728,NA,NA,5,15,60,15,5,0,NA,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,0.125,0.032258064516129,0,0,0,0,51,50,NA,NA,NA,NA,NA,23.5,13,2.923036468,4.748222503,NA,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,NA,NA,36,NA,NA,NA,2,3.666666667,80.5,2,5,201,NA,NA,0.84,832.5,1010,5,18,0.419268340472067,"Flowing"
"84","AL06","7","Riparian","intermittent_moderate","flowing",-0.597737550993064,NA,6.56666666666667,0.3068,NA,NA,NA,18.3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955489614,0.03264095,0.011869436,45.947267,5.359297,49112.59,NA,NA,NA,0.125,0.032258064516129,0,0,0,0,51,50,13.78535021,0.257870242,53.4584762595445,53.4584762595445,83,NA,13,2.923036468,4.748222503,NA,0,NA,251,42728.4,59115.8,33.4117636,46.22600272,NA,NA,36,NA,NA,NA,2,3.666666667,80.5,2,5,201,NA,NA,NA,NA,NA,NA,NA,0.419268340472067,"Flowing"
"85","AL07","1","Flowing","intermittent_long","flowing",0.832555393247408,1.03147508135319,NA,NA,56.7666666666667,NA,NA,8.25,9.6,0.269533333,0,10,70,15,0,5,2.71,11.14,8.08,366,0.524568393,0.386454183,0.088977424,45.96069669,5.276036686,59495.63,NA,NA,NA,0.875,NA,0,NA,0.125,NA,112,103,1.167303872,0.157589822,7.40722882471433,7.40722882471433,NA,14.5,13,3.415004846,2.004881112,14.4,0,NA,223,53313.2,68228.3,36.12421485,46.23046015,19,8.4,34,23,10,1,6.090909091,26.36363636,20.78947368,23,120,73,NA,NA,0.737,697.5,1227.5,9,2,0.832555393247408,"Flowing"
"86","AL07","1","Riparian","intermittent_long","flowing",-0.334013026134797,4.09700528988294,7.55555555555556,0.342277777777778,NA,NA,NA,8.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,366,0.524568393,0.386454183,0.088977424,45.96069669,5.276036686,59495.63,NA,NA,NA,0.875,NA,0,NA,0.125,NA,112,103,12.26179949,0.339857408,36.0792473589394,36.0792473589394,92,NA,13,3.415004846,2.004881112,14.4,0,NA,223,53313.2,68228.3,36.12421485,46.23046015,19,8.4,34,23,10,1,6.090909091,26.36363636,20.78947368,23,120,73,NA,NA,NA,NA,NA,NA,NA,0.832555393247408,"Flowing"
